index,emoji,category,description_eng_Latn,description_deu_Latn,description_spa_Latn,description_fra_Latn,description_jpn_Jpan,description_kor_Hang,description_por_Latn,description_ita_Latn,description_fas_Arab,description_ind_Latn,description_zho_Hans,description_rus_Cyrl,description_tur_Latn,description_ary_Latn,description_arb_Arab,is_multi_char
0,🍎,food,red apple,roter apfel,manzana roja,pomme rouge,赤リンゴ,빨간 사과,maçã vermelha,mela rossa,سیب سرخ,apel merah,红苹果,красное яблоко,kırmızı elma,tefa7a 7mra,تفاح أحمر,
1,🍐,food,pear,birne,pera,poire,洋ナシ,배,pera,pera,گلابی,pir,梨,груша,armut,lingas,كمثرى,
2,🍊,food,tangerine,mandarine,mandarina,mandarine,みかん,귤,tangerina,mandarino,نارنگی,buah jeruk,橘子,мандарин,mandalina,lmandarine,يوسفي,
3,🍋,food,lemon,zitrone,limón,citron,レモン,레몬,limão,limone,لیمو ترش,lemon,柠檬,лимон,limon,l7amd,ليمون,
4,🍌,food,banana,banane,plátano,banane,バナナ,바나나,banana,banana,موز,pisang,香蕉,банан,muz,banana,موز,
5,🍉,food,watermelon,wassermelone,sandía,pastèque,スイカ,수박,melancia,anguria,هندوانه,semangka,西瓜,арбуз,karpuz,della7,بطيخ,
6,🍇,food,grapes,trauben,uvas,raisin,ぶどう,포도,uvas,uva,انگور,anggur,葡萄,виноград,üzüm,l3neb,عنب,
7,🍓,food,strawberry,erdbeere,fresa,fraise,いちご,딸기,morango,fragola,توت فرنگی,stroberi,草莓,клубника,çilek,lfraise,فراولة,
8,🫐,food,blueberries,blaubeeren,arándanos,myrtilles,ブルーベリー,블루베리,mirtilos,mirtilli,توت آبی,blueberry,蓝莓,голубика,yaban mersini,tout,توت بري,
9,🍈,food,melon,honigmelone,melón,melon,メロン,멜론,melão,melone,طالبی,melon,甜瓜,дыня,kavun,bettikh,شمام,
10,🍒,food,cherries,kirschen,cerezas,cerises,さくらんぼ,체리,cereja,ciliegie,گیلاس,ceri,樱桃,вишня,kiraz,7ebb lmlouk,كرز,
11,🍑,food,peach,pfirsich,melocotón,pêche,桃,복숭아,pêssego,pesca,هلو,persik,桃,персик,şeftali,lkhokh,خوخ,
12,🥭,food,mango,mango,mango,mangue,マンゴー,망고,manga,mango,انبه,mangga,芒果,манго,mango,lmangue,مانجو,
13,🍍,food,pineapple,ananas,piña,ananas,パイナップル,파인애플,abacaxi,ananas,آناناس,nanas,菠萝,ананас,ananas,lananas,أناناس,
14,🥥,food,coconut,kokosnuss,coco,noix de coco,ココナツ,코코넛,coco,cocco,نارگیل,kelapa,椰子,кокос,hindistan cevizi,coco,جوز الهند,
15,🥝,food,kiwi fruit,kiwi,kiwi,kiwi,キウイフルーツ,키위,kiwi,kiwi,کیوی,buah kiwi,猕猴桃,киви,kivi,kiwi,كيوي,
16,🍅,food,tomato,tomate,tomate,tomate,トマト,토마토,tomate,pomodoro,گوجه فرنگی,tomat,西红柿,помидор,domates,maticha,طماطم,
17,🍆,food,eggplant,aubergine,berenjena,aubergine,ナス,가지,berinjela,melanzana,بادمجان,terung,茄子,баклажан,patlıcan,denjal,باذنجان,
18,🥑,food,avocado,avocado,aguacate,avocat,アボカド,아보카도,abacate,avocado,آووکادو,alpukat,鳄梨,авокадо,avokado,lavoca,أفوكادو,
