idx,description_eng,description_deu,description_spa,description_fra,description_jpn,description_kor,description_por,description_ita,description_fas,description_ind,description_zho,description_rus,description_tur,description_ary,description_arb
2,red apple,roter apfel,manzana roja,pomme rouge,赤リンゴ,빨간 사과,maçã vermelha,mela rossa,سیب سرخ,apel merah,红苹果,красное яблоко,kırmızı elma,tefa7a 7mra,تفاح أحمر
3,pear,birne,pera,poire,洋ナシ,배,pera,pera,گلابی,pir,梨,груша,armut,lingas,كمثرى
4,tangerine,mandarine,mandarina,mandarine,みかん,귤,tangerina,mandarino,نارنگی,buah jeruk,橘子,мандарин,mandalina,lmandarine,يوسفي
5,lemon,zitrone,limón,citron,レモン,레몬,limão,limone,لیمو ترش,lemon,柠檬,лимон,limon,l7amd,ليمون
6,banana,banane,plátano,banane,バナナ,바나나,banana,banana,موز,pisang,香蕉,банан,muz,banana,موز
7,watermelon,wassermelone,sandía,pastèque,スイカ,수박,melancia,anguria,هندوانه,semangka,西瓜,арбуз,karpuz,della7,بطيخ
8,grapes,trauben,uvas,raisin,ぶどう,포도,uvas,uva,انگور,anggur,葡萄,виноград,üzüm,l3neb,عنب
9,strawberry,erdbeere,fresa,fraise,いちご,딸기,morango,fragola,توت فرنگی,stroberi,草莓,клубника,çilek,lfraise,فراولة
10,blueberries,blaubeeren,arándanos,myrtilles,ブルーベリー,블루베리,mirtilos,mirtilli,توت آبی,blueberry,蓝莓,голубика,yaban mersini,tout,توت بري
11,melon,honigmelone,melón,melon,メロン,멜론,melão,melone,طالبی,melon,甜瓜,дыня,kavun,bettikh,شمام
12,cherries,kirschen,cerezas,cerises,さくらんぼ,체리,cereja,ciliegie,گیلاس,ceri,樱桃,вишня,kiraz,7ebb lmlouk,كرز
13,peach,pfirsich,melocotón,pêche,桃,복숭아,pêssego,pesca,هلو,persik,桃,персик,şeftali,lkhokh,خوخ
14,mango,mango,mango,mangue,マンゴー,망고,manga,mango,انبه,mangga,芒果,манго,mango,lmangue,مانجو
15,pineapple,ananas,piña,ananas,パイナップル,파인애플,abacaxi,ananas,آناناس,nanas,菠萝,ананас,ananas,lananas,أناناس
16,coconut,kokosnuss,coco,noix de coco,ココナツ,코코넛,coco,cocco,نارگیل,kelapa,椰子,кокос,hindistan cevizi,coco,جوز الهند
17,kiwi fruit,kiwi,kiwi,kiwi,キウイフルーツ,키위,kiwi,kiwi,کیوی,buah kiwi,猕猴桃,киви,kivi,kiwi,كيوي
18,tomato,tomate,tomate,tomate,トマト,토마토,tomate,pomodoro,گوجه فرنگی,tomat,西红柿,помидор,domates,maticha,طماطم
19,eggplant,aubergine,berenjena,aubergine,ナス,가지,berinjela,melanzana,بادمجان,terung,茄子,баклажан,patlıcan,denjal,باذنجان
20,avocado,avocado,aguacate,avocat,アボカド,아보카도,abacate,avocado,آووکادو,alpukat,鳄梨,авокадо,avokado,lavoca,أفوكادو
21,broccoli,brokkoli,brócoli,brocoli,ブロッコリー,브로콜리,brócolis,broccoli,بروکلی,brokoli,西兰花,брокколи,brokoli,broccoli,بروكولي
22,leafy green,blattgemüse,verdura de hoja verde,légume à feuilles vertes,葉野菜,녹색 채소,verdura,verdure a foglia,برگ سبز,selada hijau,绿叶蔬菜,зеленый салат,yeşil yapraklı sebze,chlada khdra,خضار ورقي
23,cucumber,gurke,pepino,concombre,キュウリ,오이,pepino,cetriolo,خیار,ketimun,黄瓜,огурец,salatalık,khyar,خيار
25,bell pepper,paprika,pimiento,poivron,赤ピーマン,피망,pimentão,peperone,فلفل دلمه ای,paprika,灯笼椒,болгарский перец,dolma biber,felfla 7louwa,فلفل حلو
26,carrot,karotte,zanahoria,carotte,人参,당근,cenoura,carota,هویج,wortel,胡萝卜,морковь,havuç,khizzowa,جزر
27,garlic,knoblauch,ajo,ail,ニンニク,마늘,alho,aglio,سیر,bawang putih,蒜,чеснок,sarımsak,touma,ثوم
28,onion,zwiebel,cebolla,oignon,タマネギ,양파,cebola,cipolla,پیاز,bawang bombay,洋葱,лук,soğan,besla,بصل
29,potato,kartoffel,patata,pomme de terre,ジャガイモ,감자,batata,patata,سیب زمینی,kentang,土豆,картофель,patates,btata,بطاطس
30,roasted sweet potato,geröstete süßkartoffel,patata asada,patate douce,焼き芋,고구마,batata assada,patata dolce arrosto,سیب زمینی شیرین کباب شده,ubi panggang,烤红薯,печеный сладкий картофель,fırınlanmış patates,btata 7louwa,بطاطا حلوة مشوية
31,croissant,croissant,cruasán,croissant,クロワッサン,크루아상,croissant,croissant,کرواسان,croissant,羊角面包,круассан,kruvasan,croissa,كرواسون
32,bagel,bagel,bagel,bagel,ベーグル,베이글,rosca,bagel,نان بیگل,bagel,面包圈,бублик,simit,bagel,خبز البيغل
